,0
yards_after_catch_missing,0.11849035079232775
drive_play_index,0.048024868626638045
yards_after_catch,0.04440255540203187
route_GO,0.027121323938963337
route_SCREEN,0.01687752980957559
time_to_throw,0.01250011778347775
route_CORNER,0.011442126293795622
route_POST,0.010386402764273167
defense_coverage_type_COVER_0,0.00921334415778673
route_FLAT,0.007615673055981363
pass_rate_so_far,0.004808331894816888
tod_unix,0.0037506473548331314
defense_man_zone_type_MAN_COVERAGE,0.0035895051386692833
route_IN/DIG,0.0032046832770035493
defenders_in_box,0.002604334004725262
route_SLANT,0.002592564009441239
defense_coverage_type_COVER_1,0.0025645980441199976
route_DEEP OUT,0.002258986951133538
completion_rate_so_far,0.0018017482598607494
route_SWING,0.0017508716107653803
route_QUICK OUT,0.001695359340440105
first_down_rush_so_far,0.001490020749775482
score_differential,0.0014151653163607465
defense_coverage_type_COVER_4,0.0013126985019875765
rush_attempt_so_far,0.001217414631360401
tod_sin_time,0.0012150463948767125
first_down_penalty_so_far,0.0010232203501521883
route_WHEEL,0.0009699780499171669
game_seconds_remaining,0.0009426281645674296
first_down_pass_so_far,0.0008822305769297084
tod_minute,0.0008783571346075594
tod_cos_time,0.000863834990418453
week,0.000835829766893689
tod_sec_midnight,0.0007869646775227394
pass_location_middle,0.0007536507869833741
down,0.0007354631184025612
temp,0.0007251376183491533
offense_formation_SHOTGUN,0.0007220005537767363
return_yards_so_far,0.0006410160945015143
route_IN,0.000637708450320881
number_of_pass_rushers,0.000620437135580893
third_down_failed_so_far,0.0006071404218211988
kickoff_attempt_so_far,0.0005868963757725848
solo_tackle_so_far,0.000584397788186154
penalty_yards_so_far,0.0005681889202901166
assist_tackle_so_far,0.000499860181529367
pass_attempt_so_far,0.00047323591755675564
incomplete_pass_so_far,0.00047215058265894167
offense_drive_number,0.00046371976939037473
punt_attempt_so_far,0.0004554965806539668
offense_formation_SINGLEBACK,0.0004371407701671905
route_ANGLE,0.0004189250815683759
touchback_so_far,0.0004114284751529919
season,0.000410026829099358
third_down_converted_so_far,0.0003749559348098877
wind,0.0003552282818780236
qb_hit_so_far,0.0003471320766318863
complete_pass_so_far,0.00034502396183740976
tod_weekday,0.00034350312911002036
roof_dome,0.0003235758521158242
defense_coverage_type_COVER_2,0.00031528553084031523
surface_fieldturf,0.00030381033532566617
pass_location_left,0.00029837111660282225
penalty_so_far,0.00028771260023076827
tod_month,0.00028698992214256194
defense_coverage_type_COVER_3,0.0002821712377862655
route_HITCH,0.0002819928350525204
sack_so_far,0.0002729236706983001
tackled_for_loss_so_far,0.0002669101716871306
route_CROSS,0.00026474015424165245
punt_inside_twenty_so_far,0.00026179081616336934
punt_fair_catch_so_far,0.0002607492592706478
route_OUT,0.0002508038360215032
defteam_timeouts_remaining,0.00022515801843554998
is_clear,0.00021999703140023445
rush_touchdown_so_far,0.00021580397425069163
field_goal_attempt_so_far,0.00020921675808285023
fumble_not_forced_so_far,0.0002043174546460102
roof_outdoors,0.00019849794917512398
surface_matrixturf,0.00019215332397067703
extra_point_attempt_so_far,0.0001900977895031814
pass_location_right,0.00018800992846947721
interception_so_far,0.0001858733753952706
touchdown_so_far,0.00018476988717634602
is_precip,0.00017462357832539167
posteam_home,0.00017110236069667236
tod_is_weekend,0.00016681177405458494
route_HITCH/CURL,0.00016376407661249583
fumble_so_far,0.00016364197126742558
was_pressure,0.00016018295672250683
posteam_timeouts_remaining,0.0001601393712436972
offense_formation_UNDER CENTER,0.00015697775198456927
fumble_lost_so_far,0.00014522455437247293
pass_touchdown_so_far,0.00014489279582309165
tod_hour,0.00013784474193865142
punt_downed_so_far,0.0001255126759652991
fourth_down_converted_so_far,0.00012134233510312066
surface_grass,0.00011809481414171105
offense_formation_EMPTY,0.00010299596765016731
fourth_down_failed_so_far,9.164422876873875e-05
punt_out_of_bounds_so_far,8.587999750725199e-05
fumble_forced_so_far,8.21353858000331e-05
qtr,8.091664425109881e-05
defense_coverage_type_COMBO,7.980500325838786e-05
roof_closed,7.604937925786006e-05
offense_formation_PISTOL,7.151900197091569e-05
under_two_minute_warning,7.138282941294977e-05
surface_sportturf,5.1191335416184416e-05
route_SHALLOW CROSS/DRAG,4.252469845866738e-05
defense_coverage_type_COVER_6,4.083186402548597e-05
surface_astroturf,3.0157822219013553e-05
roof_open,2.7017332274740602e-05
game_half_Half2,2.4358275951784416e-05
is_windy,2.362403295626804e-05
game_half_Half1,2.107941260972821e-05
season_postseason,2.0582781689715338e-05
defense_coverage_type_2_MAN,1.9715319116603602e-05
two_point_attempt_so_far,1.961391082287184e-05
surface_a_turf,1.7162414678375547e-05
tod_is_night,1.2113093343717368e-05
fumble_out_of_bounds_so_far,1.1461286034106513e-05
completion_rate_so_far_missing,2.7951261582067463e-06
offense_formation_I_FORM,2.5824428334756085e-06
punt_blocked_so_far,2.406826636880476e-06
defense_coverage_type_COVER_9,1.9322087192073146e-06
is_throwaway_or_spike,1.543888413587272e-06
lateral_reception_so_far,1.3560510004505167e-06
pass_rate_so_far_missing,9.255554335699995e-07
safety_so_far,8.904932261080698e-07
route_TEXAS/ANGLE,7.00701016499674e-07
time_to_throw_missing,4.2875765893625295e-07
defense_coverage_type_PREVENT,4.180336893076619e-07
return_touchdown_so_far,3.2737138358959373e-07
defense_coverage_type_BLOWN,9.116154876287319e-08
game_half_Overtime,8.977277980360746e-09
was_pressure_missing,0.0
offense_formation_WILDCAT,0.0
is_batted_pass,0.0
punt_in_endzone_so_far,0.0
offense_formation_JUMBO,0.0
lateral_rush_so_far,0.0
number_of_pass_rushers_missing,0.0
